,Country,Date,Cases,Year,Pop_den,GNI_per_cap,GDP_per_cap,Month
703,United Kingdom,2015-03-16,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
704,United Kingdom,2015-03-17,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
705,United Kingdom,2015-03-18,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
706,United Kingdom,2015-03-20,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
707,United Kingdom,2015-03-23,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
708,United Kingdom,2015-03-24,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
709,United Kingdom,2015-03-25,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
710,United Kingdom,2015-03-26,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
711,United Kingdom,2015-03-27,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
712,United Kingdom,2015-04-07,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
713,United Kingdom,2015-04-09,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
714,United Kingdom,2015-04-13,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
715,United Kingdom,2015-04-14,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
716,United Kingdom,2015-04-15,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
717,United Kingdom,2015-04-16,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
718,United Kingdom,2015-04-17,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
719,United Kingdom,2015-04-20,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
720,United Kingdom,2015-04-21,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
721,United Kingdom,2015-04-22,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
722,United Kingdom,2015-04-23,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
723,United Kingdom,2015-04-24,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
724,United Kingdom,2015-04-27,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
725,United Kingdom,2015-04-28,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
726,United Kingdom,2015-04-30,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
727,United Kingdom,2015-05-01,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
728,United Kingdom,2015-05-04,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
729,United Kingdom,2015-05-05,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
730,United Kingdom,2015-05-06,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
731,United Kingdom,2015-05-07,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
732,United Kingdom,2015-05-08,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
733,United Kingdom,2015-05-11,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
734,United Kingdom,2015-05-12,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
735,United Kingdom,2015-05-13,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
736,United Kingdom,2015-05-15,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
737,United Kingdom,2015-05-14,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
738,United Kingdom,2015-05-19,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
739,United Kingdom,2015-05-18,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
740,United Kingdom,2015-05-20,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
741,United Kingdom,2015-05-21,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
742,United Kingdom,2015-05-22,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
743,United Kingdom,2015-05-26,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
744,United Kingdom,2015-05-25,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
745,United Kingdom,2015-05-27,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
746,United Kingdom,2015-05-28,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
747,United Kingdom,2015-05-29,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
748,United Kingdom,2015-06-01,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
749,United Kingdom,2015-06-02,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
750,United Kingdom,2015-06-03,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
751,United Kingdom,2015-06-04,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
752,United Kingdom,2015-06-05,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
753,United Kingdom,2015-06-08,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
754,United Kingdom,2015-06-09,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
755,United Kingdom,2015-06-10,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
756,United Kingdom,2015-06-11,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
757,United Kingdom,2015-06-12,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
758,United Kingdom,2015-06-15,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
759,United Kingdom,2015-06-16,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
760,United Kingdom,2015-06-17,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
761,United Kingdom,2015-06-18,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
762,United Kingdom,2015-06-19,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
763,United Kingdom,2015-06-22,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
764,United Kingdom,2015-06-23,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
765,United Kingdom,2015-06-24,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
766,United Kingdom,2015-06-25,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
767,United Kingdom,2015-06-26,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
768,United Kingdom,2015-06-29,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
769,United Kingdom,2015-06-30,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
770,United Kingdom,2015-07-01,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
771,United Kingdom,2015-07-02,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
772,United Kingdom,2015-07-03,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
773,United Kingdom,2015-07-06,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
774,United Kingdom,2015-07-07,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,4
